Airline,FlightNumber,Origin,Op. days,Equipment,Service type,Seats,Departure time,Hub time,Arrival time,Seats,Service type,Equipment,Op. days,Arrival,FlightNumber,Airline
"","","","","","","","","04:25:00","06:25:00","2520","J","77W","1234567","DXB","513","EK"
"","","","","","","","","04:30:00","07:20:00","1148","J","32N","1234567","BLR","2653","AI"
"","","","","","","","","04:30:00","06:35:00","1050","J","320","1234567","KTM","215","AI"
"","","","","","","","","04:30:00","06:30:00","1190","J","320","1234567","SHJ","464","G9"
"","","","","","","","","04:30:00","06:55:00","232","J","32Q","     6 ","GOI","5341","6E"
"","","","","","","","","04:35:00","16:15:00","1442","J","788","1234567","NRT","740","JL"
"","","","","","","","","04:35:00","07:00:00","1981","J","359","1234567","DOH","579","QR"
"","","","","","","","","04:40:00","06:45:00","1624","J","32Q","1234567","PNQ","5322","6E"
"","","","","","","","","04:40:00","06:55:00","1232","J","7M8","1234567","PNQ","1230","IX"
"6E","706","HYD"," 2 45 7","32Q","J","440","02:15:00","04:40:00","","","","","","","",""
"6E","706","HYD","  3    ","32Q","J","220","02:15:00","04:40:00","","","","","","","",""
"6E","706","HYD","1    6 ","32Q","J","440","02:15:00","04:40:00","","","","","","","",""
"","","","","","","","","04:40:00","06:20:00","1302","J","32N","1234567","NAG","6018","6E"
"6E","706","HYD","    5 7","32Q","J","440","02:15:00","04:40:00","","","","","","","",""
"","","","","","","","","04:45:00","07:00:00","880","J","32Q","1 34 6 ","CCU","5191","6E"
"","","","","","","","","04:45:00","06:55:00","1316","J","321","1234567","PNQ","2469","AI"
"","","","","","","","","04:45:00","07:00:00","660","J","32Q"," 2  5 7","CCU","5191","6E"
"","","","","","","","","04:45:00","07:10:00","1624","J","32Q","1234567","GAU","2203","6E"
"","","","","","","","","04:50:00","07:00:00","2814","J","77W","1234567","AUH","219","EY"
"","","","","","","","","04:50:00","08:00:00","1302","J","32N","1234567","IXM","2364","6E"
"","","","","","","","","04:50:00","06:10:00","1043","J","73G","1234567","IXL","127","SG"
"TK","716","IST"," 2  5 7","333","J","867","20:15:00","04:50:00","","","","","","","",""
"TK","716","IST","1 34 6 ","77W","J","1600","20:15:00","04:50:00","","","","","","","",""
"HY","421","TAS"," 2     ","767","J","264","01:25:00","04:55:00","","","","","","","",""
"AI","996","DXB","12345  ","788","J","1250","00:15:00","04:55:00","","","","","","","",""
"AI","996","DXB","     6 ","789","J","278","00:15:00","04:55:00","","","","","","","",""
"","","","","","","","","04:55:00","06:25:00","1624","J","32Q","1234567","IDR","6490","6E"
"HY","421","TAS"," 2  5  ","763","J","247","01:25:00","04:55:00","","","","","","","",""
"AI","996","DXB","      7","788","J","259","00:15:00","04:55:00","","","","","","","",""
"","","","","","","","","04:55:00","06:50:00","192","J","32Q","  3 5  ","BAH","131","GF"
"","","","","","","","","04:55:00","06:50:00","996","J","32Q","12 4567","BAH","131","GF"
"","","","","","","","","04:55:00","06:15:00","1148","J","32N","1234567","IXL","2479","AI"
"","","","","","","","","05:00:00","09:00:00","2072","J","333","1234567","SVO","233","SU"
"","","","","","","","","05:00:00","07:30:00","972","J","7M8","12345 7","GOI","1108","IX"
"","","","","","","","","05:00:00","06:30:00","1624","J","32Q","1234567","BHO","6569","6E"
"","","","","","","","","05:00:00","07:15:00","660","J","32Q"," 2  5 7","BOM","449","6E"
"","","","","","","","","05:00:00","06:45:00","1116","J","32N"," 234567","STV","1292","IX"
"","","","","","","","","05:00:00","07:05:00","1116","J","32N","1 34567","BBI","6073","6E"
"","","","","","","","","05:00:00","06:35:00","1624","J","32Q","1234567","AMD","5119","6E"
"","","","","","","","","05:00:00","10:40:00","1640","J","77W"," 23 567","FRA","2025","AI"
"","","","","","","","","05:00:00","07:15:00","880","J","32Q","1 34 6 ","BOM","449","6E"
"","","","","","","","","05:00:00","07:05:00","186","J","32N"," 2     ","BBI","6073","6E"
"","","","","","","","","05:00:00","11:15:00","1813","J","788","1234567","CDG","147","AI"
"","","","","","","","","05:00:00","06:45:00","186","J","32N","1      ","STV","1292","IX"
"","","","","","","","","05:10:00","08:20:00","1092","J","320","1234567","GYD","0058","J2"
"","","","","","","","","05:10:00","07:25:00","1323","J","73H","1234567","GAU","758","SG"
"","","","","","","","","05:10:00","06:25:00","1148","J","32N","1234567","ATQ","1703","AI"
"","","","","","","","","05:10:00","07:40:00","232","J","32Q","      7","GOI","5341","6E"
"","","","","","","","","05:10:00","08:05:00","1302","J","32N","1234567","CJB","6804","6E"
"","","","","","","","","05:10:00","07:40:00","1160","J","32Q","12345  ","GOI","5341","6E"
"6E","6045","BOM","1  4 6 ","32Q","J","220","03:00:00","05:10:00","","","","","","","",""
"","","","","","","","","05:10:00","06:35:00","1624","J","32Q","1234567","VNS","6246","6E"
"6E","6045","BOM"," 23 5 7","32Q","J","220","03:00:00","05:10:00","","","","","","","",""
"","","","","","","","","05:10:00","11:20:00","1540","J","32Q","1234567","HKT","1073","6E"
"","","","","","","","","05:10:00","10:40:00","1624","J","32Q","1234567","HAN","1633","6E"
"6E","6045","BOM","1 34567","32Q","J","1100","03:00:00","05:10:00","","","","","","","",""
"","","","","","","","","05:15:00","08:50:00","952","J","320","1234567","CMB","192","UL"
"","","","","","","","","05:20:00","06:50:00","1323","J","73H","1234567","SXR","620","SG"
"","","","","","","","","05:20:00","06:15:00","1624","J","32Q","1234567","JAI","6190","6E"
"AY","121","HEL","1234567","333","J","1953","18:30:00","05:20:00","","","","","","","",""
"6E","12","IST","1234567","32Q","J","1365","18:20:00","05:20:00","","","","","","","",""
"6E","246","CCU","    5  ","32Q","J","220","03:00:00","05:25:00","","","","","","","",""
"6E","246","CCU","12   6 ","32Q","J","660","03:00:00","05:25:00","","","","","","","",""
